nombre,domicilio,localidad,cp,longitud,latitud
ORIOLI,CORDOBA 2275,ROSARIO,2000,-60.654427,-32.943519
CAPOZZI,SAN MARTIN 2365,VILLA GOBERNADOR GALVEZ,2124,-60.622399,-33.027375
OESTE,CORDOBA 6694,ROSARIO,2000,-60.71262,-32.933146
FRANZ,MENDOZA 5802,ROSARIO,2000,-60.702513,-32.940223
PILAR,PUEYRREDON 353,ROSARIO,2000,-60.656272,-32.937702
SCLOSA,MENDOZA 5567,ROSARIO,2000,-60.699488,-32.940799
BELGRANO,MENDOZA 6998,ROSARIO,2000,-60.71619987,-32.94034927
BENITEZ,Bv Avellaneda 735 Bis,ROSARIO,2000,-60.67418575,-32.91843072
BIZZARRI,JOSE INGENIEROS 876,ROSARIO,2000,-60.6976,-32.847902
BONICCHI,LISANDRO DE LA TORRE 55,ARROYO SECO,2128,-60.513089,-33.161697
RIVERO,JUAN B. JUSTO 658,ARROYO SECO,2128,-60.513217,-33.161625
VEGA,PASTEUR 2298,VILLA GOBERNADOR GALVEZ,2124,-60.624021,-33.027735
MILATICH,BUENOS AIRES 2398,VILLA GOBERNADOR GALVEZ,2124,-60.638484,-33.029067
COBELLI,CORDOBA 5973,ROSARIO,2000,-60.704509,-32.934514
PISTACCHIA,EVA PERON 8055,ROSARIO,2000,-60.735794,-32.928985
DE PAOLA,SANTIAGO 1499,ROSARIO,2000,-60.658182,-32.951568
DEL BARRIO,Bv RONDEAU 3411,ROSARIO,2000,-60.695934,-32.883822
DEL PRETE,MORENO 295,ARROYO SECO,2128,-60.513346,-33.161697
LORENZETTI,NECOCHEA 1795,ROSARIO,2000,-60.627154,-32.960696
GENCIANA,MAESTROS SANTAFESINOS 4885,ROSARIO,2000,-60.62298424,-32.99307623
GRILLI,SAN JUAN 601,ROSARIO,2000,-60.632604,-32.95137
ALEJANDRA PORTA,BAIGORRIA 1477,ROSARIO,2000,-60.701848,-32.893444
HAUPTMANN,GRAL PAZ 5467,ROSARIO,2000,-60.62723311,-32.99992454
CECCARELLI,AYACUCHO 5380,ROSARIO,2000,-60.636274,-32.999036
MARCHETTI,SANTA FE 1631,FUNES,2132,-60.810574,-32.918305
MAMMANA,Av CORDOBA 4790,ROSARIO,2000,-60.688566,-32.937396
CHIMENTON,PELLEGRINI 4460,ROSARIO,2000,-60.686828,-32.948993
ARAUJO,RIOJA 701,ROSARIO,2000,-60.63305473,-32.94877599
AMBAY,SAN JUAN 2296,ROSARIO,2000,-60.65558048,-32.94719692
AQUINO,SAN LUIS 2348,ROSARIO,2000,-60.655935,-32.945877
ARGENTA,SE SAN MARTIN JOSE GRL AV 4515,ROSARIO,2000,,
ACEOLAZA,SUPERI JOSE 996,ROSARIO,2000,,
ALEMA,TUCUMAN 1099,ROSARIO,2000,-60.63706169,-32.94183776
ANUNZIATO,DE URQUIZA JUSTO JOSE 2597,ROSARIO,2000,,
ACHIDIAK,VELEZ SARSFIELD 1582,ROSARIO,2000,-60.68617172,-32.92518195
BONEL,ARIJON AV 1337,ROSARIO,2000,-60.65236462,-33.00311707
BAHA,BAHIA BLANCA BIS 388,ROSARIO,2000,-60.68876932,-32.923865
BAIGORRIA,BAIGORRIA JUAN BAUTISTA 957,ROSARIO,2000,,
BOGGIONE,BALCARCE 816,ROSARIO,2000,-60.65197402,-32.94411923
BERMEJO,AYACUCHO 1650,ROSARIO,2000,-60.62946844,-32.95868957
BINI,SEGUI JUAN FRANCISCO BV 5341,ROSARIO,2000,,
BRUFAL,SEGUI JUAN FRANCISCO BV 5203,ROSARIO,2000,,
BUSTAMANTE,CASIANO CASAS 1502,ROSARIO,2000,-60.70412519,-32.90184214
BATALLA,DUARTE DE PERON EVA AV 4997,ROSARIO,2000,,
BARTONAGIOLLI,DE ROSAS JUAN MANUEL 2448,ROSARIO,2000,,
BONETTO,PASO JUAN JOSE 5669,ROSARIO,2000,,
BARBAGALLO,TUCUMAN 7607,ROSARIO,2000,-60.72493294,-32.93287501
BECCARIA,PROVINCIAS UNIDAS AV 864,ROSARIO,2000,-60.71285078,-32.93763432
BUSALACCHI,LAMADRID 1987,ROSARIO,2000,-60.66203649,-32.99750945
BOZAZ,MENDOZA AV 7940,ROSARIO,2000,,
BEDETTI,MITRE BARTOLOME 4408,ROSARIO,2000,,
BERGERO,MONTEVIDEO 1732,ROSARIO,2000,-60.64938909,-32.95454503
BAVASTRO,NECOCHEA 3118,ROSARIO,2000,-60.63099451,-32.97606064
BOSCO,PARAGUAY 1159,ROSARIO,2000,-60.64486452,-32.9499885
BACHIARRI,ROCA JULIO ARGENTINO PTE 2508,ROSARIO,2000,,
BIANCHI,RIOBAMBA 3595,ROSARIO,2000,-60.67646951,-32.9568899
BERGONZI,SALTA AV 1975,ROSARIO,2000,-60.64850429,-32.9372715
BITTAR,SAN JUAN 3292,ROSARIO,2000,-60.669133,-32.94479042
BONO,SAN LORENZO 1130,ROSARIO,2000,-60.63804599,-32.94409848
BENDINELLI,DE URQUIZA JUSTO JOSE 2373,ROSARIO,2000,,
CASADEI,9 DE JULIO 1768,ROSARIO,2000,-60.64931272,-32.95216008
CASTINI,9 DE JULIO 414,ROSARIO,2000,-60.63038733,-32.95558009
CATAUDELLA,9 DE JULIO 504,ROSARIO,2000,-60.63164912,-32.9553667
CONCARI,9 DE JULIO 764,ROSARIO,2000,-60.63554236,-32.95469178
CHIAPPERO,9 DE JULIO 2499,ROSARIO,2000,-60.65923875,-32.95038317
CASTELLI,ARIJON AV 302,ROSARIO,2000,-60.6360759,-33.00262066
CARLOS SOLARI,ARIJON AV 1645,ROSARIO,2000,-60.65695565,-33.00325454
CLADERA,NTRA SRA DEL ROSARIO AV 3189,ROSARIO,2000,-60.6790995,-33.00098161
CAPRIOGLIO,FRANCIA AV 2581,ROSARIO,2000,-60.67091692,-32.96240524
CUCA,URIBURU JOSE EVARISTO PRES AV 1756,ROSARIO,2000,,
COTUGNO,BUENOS AIRES 3569,ROSARIO,2000,-60.64080504,-32.97964304
CATIVIELA,AVELLANEDA BV 2655,ROSARIO,2000,-60.68474998,-32.96092216
CARLOS LAURINO,OROO NICASIO BV 6000,ROSARIO,2000,,
CRISTIAN HERNANDEZ,OROO NICASIO BV 3436,ROSARIO,2000,,
CRUZ DEL SUR,OROO NICASIO BV 2875,ROSARIO,2000,,
CARRA,RONDEAU BV 1029,ROSARIO,2000,-60.68947261,-32.9047576
CORIASCO,CAFFERATA 1242,ROSARIO,2000,-60.6724107,-32.94620398
CORDOBA,Córdoba 2394,ROSARIO,2000,-60.655991,-32.9431329
CENTENARIO,CORRIENTES AV 501,ROSARIO,2000,-60.64149956,-32.94220125
CORRIENTES,CORRIENTES AV 785,ROSARIO,2000,-60.64231123,-32.94548113
CENTINEO,JUNIN 650,ROSARIO,2000,-60.67282576,-32.92655934
CHIABRANDO,ENTRE RIOS 1121,ROSARIO,2000,-60.64196475,-32.94995048
CULLA,DUARTE DE PERON EVA AV 5401,ROSARIO,2000,-60.69754779,-32.93588653
CANTONI,IGR LAPORTE 3732,ROSARIO,2000,-60.69354899,-32.88044258
CECCONI,JUSTO JUAN BAUTISTA 7235,ROSARIO,2000,,
CRUZ DEL OESTE,PASO JUAN JOSE 6674,ROSARIO,2000,,
FALCONE,SE SAN MARTIN JOSE GRL AV 658,ROSARIO,2000,-60.63638806,-32.94527209
FEIOCK,SAN NICOLAS 3798,ROSARIO,2000,-60.6811602,-32.97524145
FARINA,SANTA FE 3304,ROSARIO,2000,-60.6679487,-32.9396481
FERRETO,SARMIENTO DOMINGO FAUSTINO PRES 4301,ROSARIO,2000,,
